Date,Rain,Temp Max,Temp Min
11-05-1951,1.63386786,35,22.53000069
12-05-1951,4.32531929,34.59000015,22.89999962
13-05-1951,29.38614082,34.20999908,20.89999962
14-05-1951,0,33.43999863,24.70000076
15-05-1951,0,34.04999924,22.29999924
16-05-1951,10.53517818,34.16999817,22.72999954
17-05-1951,0,34.56999969,24.5
18-05-1951,14.77824593,34.75,19.69000053
19-05-1951,0,32.84999847,21.85000038
20-05-1951,3.397963762,33.70999908,22.11000061
21-05-1951,0,33.27000046,22.45000076
22-05-1951,6.269704342,33.54000092,20.35000038
23-05-1951,0.216368049,32.41999817,22.32999992
24-05-1951,3.806601286,32.00999832,20.96999931
25-05-1951,8.543801308,31.35000038,20.44000053
26-05-1951,1.297595859,30.87999916,22.01000023
27-05-1951,19.96914673,32.40000153,20.86000061
28-05-1951,0,31.86000061,21.52000046
29-05-1951,0,32.34000015,21.29999924
30-05-1951,0.254430562,30.04000092,21.78000069
31-05-1951,8.498950005,31.12999916,21.75
01-06-1951,3.188768387,29.77000046,20.18000031
02-06-1951,7.869368076,26.65999985,20.43000031
03-06-1951,0,28.37999916,21.01000023
04-06-1951,10.27752686,29.52000046,21.72999954
05-06-1951,0,29.04000092,20.87999916
06-06-1951,15.58751869,28.71999931,20.38999939
07-06-1951,0,28.62999916,20.63999939
08-06-1951,0,29.17000008,20.82999992
09-06-1951,0,29.88999939,21.11000061
10-06-1951,0,28.65999985,20.78000069
11-06-1951,0,29.28000069,20.47999954
12-06-1951,0.427458853,28.10000038,21.12000084
13-06-1951,1.466923594,28.20000076,20.62000084
14-06-1951,2.188102961,28.5,19.88999939
15-06-1951,0,28.61000061,20.5
16-06-1951,1.142062187,28.39999962,21.20000076
17-06-1951,0,30.13999939,20.65999985
18-06-1951,0,30.30999947,20.23999977
19-06-1951,0,29.62999916,20.45000076
20-06-1951,0.620685995,29.26000023,20.36000061
21-06-1951,1.762748241,28.20000076,20.5
22-06-1951,0,28.87999916,20.69000053
23-06-1951,0,28.36000061,20.73999977
24-06-1951,0,28.55999947,20.77000046
25-06-1951,0,27.92000008,19.87999916
26-06-1951,0,28.54999924,20.31999969
27-06-1951,0,28.68000031,20.37999916
28-06-1951,0,29.72999954,20.36000061
29-06-1951,0,30.32999992,20.44000053
30-06-1951,0,31.25,20.79999924
01-07-1951,0,32.11000061,21.52000046
02-07-1951,0,31.90999985,21.35000038
03-07-1951,0,32.11999893,21.18000031
04-07-1951,10.77223969,30.93000031,20.73999977
05-07-1951,1.737878323,31.09000015,19.78000069
06-07-1951,102.7705765,30.55999947,19.59000015
07-07-1951,26.6553154,28.20999908,20.04999924
08-07-1951,0.857160866,28.09000015,19.97999954
09-07-1951,0.330759704,27.09000015,19.34000015
10-07-1951,0,29.40999985,20.31999969
11-07-1951,0,31.15999985,21.27000046
12-07-1951,0,31.13999939,20.02000046
13-07-1951,0,29.98999977,20.17000008
14-07-1951,1.111305833,27.09000015,19.93000031
15-07-1951,0,29.31999969,20.35000038
16-07-1951,12.39432812,29.29000092,20.29999924
17-07-1951,0.337745279,28.88999939,20.79000092
18-07-1951,0,28.90999985,19.89999962
19-07-1951,0,26.25,19.75
20-07-1951,3.888748884,25.89999962,19.53000069
21-07-1951,1.485991955,26.94000053,20.14999962
22-07-1951,4.984782219,26.69000053,20.37000084
23-07-1951,5.922277451,27.51000023,20.39999962
24-07-1951,0.330759704,26,20.82999992
25-07-1951,3.64780879,25.04999924,19.44000053
26-07-1951,0.254430562,26.27000046,19.95999908
27-07-1951,0,26.79999924,20.04000092
28-07-1951,2.027255535,28.36000061,20.67000008
29-07-1951,0,29.18000031,20.97999954
30-07-1951,0,29.05999947,21.04000092
31-07-1951,0,27.93000031,20.84000015
01-08-1951,0,27.73999977,20.29000092
02-08-1951,0,28.19000053,20.38999939
03-08-1951,0,29.69000053,20.86000061
04-08-1951,0,29.27000046,20.65999985
05-08-1951,0,27.72999954,20.06999969
06-08-1951,0,28.35000038,20.54000092
07-08-1951,0,29.23999977,20.60000038
08-08-1951,0,28.12000084,20.53000069
09-08-1951,0,28.81999969,19.77000046
10-08-1951,1.639760852,28.88999939,20.23999977
11-08-1951,0,29.72999954,20.80999947
12-08-1951,7.180204868,29.11000061,20.96999931
13-08-1951,0,30.05999947,20.64999962
14-08-1951,0,29.86000061,20.57999992
15-08-1951,0,30.81999969,20.29000092
16-08-1951,0,30.85000038,20.62000084
17-08-1951,0,29.15999985,20.5
18-08-1951,0,28.67000008,19.98999977
19-08-1951,0,29.31999969,20.37000084
20-08-1951,0.712405503,29.79999924,20.5
21-08-1951,0,30.27000046,20.88999939
22-08-1951,1.628355503,30.01000023,20.69000053
23-08-1951,0,29.70000076,20.45000076
24-08-1951,9.601681709,29.57999992,20.30999947
25-08-1951,0,29.28000069,19.87999916
26-08-1951,0,30.28000069,19.79000092
27-08-1951,0,30.45000076,20.69000053
28-08-1951,0.966836095,30.05999947,20.95000076
29-08-1951,0,29.56999969,20.21999931
30-08-1951,0,29.19000053,20.12000084
31-08-1951,0,29.69000053,19.53000069
01-09-1951,0,29.25,19.95000076
02-09-1951,0,29.38999939,19.22999954
03-09-1951,0,31.07999992,19.54999924
04-09-1951,0,30.17000008,19.29999924
05-09-1951,4.34480238,28.62000084,19.69000053
06-09-1951,5.102972984,27.62999916,19.48999977
07-09-1951,0,26.75,19.79000092
08-09-1951,0,29.35000038,19.55999947
09-09-1951,0,30.05999947,19.48999977
10-09-1951,0.127215281,30,20.81999969
11-09-1951,0,29.19000053,20.61000061
12-09-1951,2.060887575,29.40999985,19.70999908
13-09-1951,0,29.59000015,19.57999992
14-09-1951,0,29.76000023,20.87000084
15-09-1951,8.445631981,31.01000023,19.96999931
16-09-1951,16.83695221,30.42000008,20.81999969
17-09-1951,28.63747406,31.13999939,19.95999908
18-09-1951,6.419070244,30.18000031,20.65999985
19-09-1951,0,30.06999969,21.03000069
20-09-1951,0,30.68000031,21.31999969
21-09-1951,0,31.59000015,21.57999992
22-09-1951,0,31.63999939,21.5
23-09-1951,0,32.06000137,21.84000015
24-09-1951,0,31.25,21.44000053
25-09-1951,0.860194862,31.36000061,21.20000076
26-09-1951,0,30.10000038,20.96999931
27-09-1951,0,29.46999931,20.65999985
28-09-1951,2.923518896,27.62000084,20.54999924
29-09-1951,6.977078438,27.70000076,19.95000076
30-09-1951,14.42367935,27.05999947,20.57999992
01-10-1951,0,26.62000084,20.17000008
02-10-1951,0,27.70000076,20.01000023
03-10-1951,0,28.19000053,20.95000076
04-10-1951,0,29.15999985,20.59000015
05-10-1951,0,29.14999962,20.10000038
06-10-1951,0.571031094,27.87000084,22.47999954
07-10-1951,4.528863907,29.42000008,20.90999985
08-10-1951,0,29.81999969,20.30999947
09-10-1951,23.16049004,29.79000092,20.81999969
10-10-1951,0,29.97999954,20.73999977
11-10-1951,0,30.17000008,20.19000053
12-10-1951,6.44557333,30.17000008,20.89999962
13-10-1951,1.244662404,29.97999954,20.43000031
14-10-1951,11.8687458,29.70999908,20.80999947
15-10-1951,7.325513363,30.35000038,21.12000084
16-10-1951,20.06005096,28.23999977,20
17-10-1951,0.248274401,29.34000015,20.44000053
18-10-1951,0,29.60000038,20.72999954
19-10-1951,0,30.88999939,21.05999947
20-10-1951,12.45256138,30.64999962,20.68000031
21-10-1951,0,27.37999916,19.82999992
22-10-1951,0,29.54999924,19.30999947
