Date,Rain,Temp Max,Temp Min,Location,Rain,Temp Max,Temp Min,Location
16-02-1951,0,29.44000053,10.06999969,POINT (72.5 23.5),0,31.51000023,12.40999985,POINT (72.5 22.5)
17-02-1951,0,30.79000092,12.23999977,POINT (72.5 23.5),0,33.09999847,14.38000011,POINT (72.5 22.5)
18-02-1951,0,31.88999939,11.61999989,POINT (72.5 23.5),0,35.16999817,14.11999989,POINT (72.5 22.5)
19-02-1951,0,33.52000046,12.92000008,POINT (72.5 23.5),0,34.59000015,14.89999962,POINT (72.5 22.5)
20-02-1951,0,32.33000183,13.63000011,POINT (72.5 23.5),0,34.29999924,15.52999973,POINT (72.5 22.5)
21-02-1951,0,33.40999985,13.22000027,POINT (72.5 23.5),0,35.68999863,15.5,POINT (72.5 22.5)
22-02-1951,0,35.16999817,13.90999985,POINT (72.5 23.5),0,36.77999878,16.25,POINT (72.5 22.5)
23-02-1951,0,33.79999924,13.44999981,POINT (72.5 23.5),0,35.25,15.61999989,POINT (72.5 22.5)
24-02-1951,0,35.11000061,14.11999989,POINT (72.5 23.5),0,35.38999939,16.46999931,POINT (72.5 22.5)
25-02-1951,0,32.31000137,13.94999981,POINT (72.5 23.5),0,33.38000107,16.27000046,POINT (72.5 22.5)
26-02-1951,0,32.88999939,14.13000011,POINT (72.5 23.5),0,33.81999969,15.88000011,POINT (72.5 22.5)
27-02-1951,0,33.40000153,14.71000004,POINT (72.5 23.5),0,34.56000137,16.36000061,POINT (72.5 22.5)
28-02-1951,0,33.27000046,14.02000046,POINT (72.5 23.5),0,34.43000031,15.85000038,POINT (72.5 22.5)
01-03-1951,0,35.02999878,14.77000046,POINT (72.5 23.5),0,36.29999924,16.72999954,POINT (72.5 22.5)
02-03-1951,0,36.06000137,16.29999924,POINT (72.5 23.5),0,37.13999939,18.19000053,POINT (72.5 22.5)
03-03-1951,0,35.90000153,16.71999931,POINT (72.5 23.5),0,38.02999878,19.15999985,POINT (72.5 22.5)
